bird_name,bird_sci_name,bird_order,bird_family,bird_color,bird_habitat,bird_char,bird_desc,bird_distr,bird_eco,bird_img,bird_scale
BURCHELLS COURSER,CURSORIUS RUFUS,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
BUSH TURKEY,ALECTURA LATHAMI,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
CAATINGA CACHOLOTE,PSEUDOSEISURA CRISTAT,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
CABOTS TRAGOPAN,TRAGOPAN CABOTI,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
CACTUS WREN,CAMPYLORHYNCHUS BRUNNEICAPILLUS,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
CALIFORNIA CONDOR,GYMNOGYPS CALIFORNIANUS,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
CALIFORNIA GULL,LARUS CALIFORNICUS,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
CALIFORNIA QUAIL,CALLIPEPLA CALIFORNICA,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
CAMPO FLICKER,COLAPTES CAMPESTRIS,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
CANARY,SERINUS CANARIA DOMESTICA,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
CANVASBACK,AYTHYA VALISINERIA,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
CAPE GLOSSY STARLING,LAMPROTORNIS NITENS,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
CAPE LONGCLAW,MACRONYX CAPENSIS,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
CAPE MAY WARBLER,SETOPHAGA TIGRINA,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
CAPE ROCK THRUSH,MONTICOLA RUPESTRIS,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
CAPPED HERON,PILHERODIUS PILEATUS,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
CAPUCHINBIRD,PERISSOCEPHALUS TRICOLOR,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
CARMINE BEE-EATER,MEROPS NUBICOIDES,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
CASPIAN TERN,HYDROPROGNE CASPIA,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
CASSOWARY,CASUARIUS,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
CEDAR WAXWING,BOMBYCILLA CEDRORUM,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
CERULEAN WARBLER,SETOPHAGA CERULEA,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
CHARA DE COLLAR,CYANOLYCA ARMILLATA,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
CHATTERING LORY,LORIUS GARRULUS,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
CHESTNET BELLIED EUPHONIA,EUPHONIA PECTORALIS,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
CHESTNUT WINGED CUCKOO, CLAMATOR COROMANDUS,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
CHINESE BAMBOO PARTRIDGE,BAMBUSICOLA THORACICUS,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
CHINESE POND HERON,ARDEOLA BACCHUS,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
CHIPPING SPARROW,SPIZELLA PASSERINA,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
CHUCAO TAPACULO,SCELORCHILUS RUBECULA,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
CHUKAR PARTRIDGE,ALECTORIS CHUKAR,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
CINNAMON ATTILA,ATTILA CINNAMOMEUS,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
CINNAMON FLYCATCHER,PYRRHOMYIAS CINNAMOMEUS,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
CINNAMON TEAL,ANAS CYANOPTERA,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
CLARKS GREBE,AECHMOPHORUS CLARKII,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
CLARKS NUTCRACKER,NUCIFRAGA COLUMBIANA,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
COCK OF THE  ROCK,RUPICOLA,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
COCKATOO,CACATUIDAE,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
COLLARED ARACARI,PTEROGLOSSUS TORQUATUS,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
COLLARED CRESCENTCHEST,MELANOPAREIA TORQUATA,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
COMMON FIRECREST,REGULUS IGNICAPILLA,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
COMMON GRACKLE,QUISCALUS QUISCULA,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
COMMON HOUSE MARTIN,DELICHON URBICUM,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
COMMON IORA,AEGITHINA TIPHIA,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
COMMON LOON,GAVIA IMMER,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
COMMON POORWILL,PHALAENOPTILUS NUTTALLII,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
COMMON STARLING,STURNUS VULGARIS,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
COPPERSMITH BARBET,MEGALAIMA HAEMACEPHALA,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
COPPERY TAILED COUCAL,CENTROPUS CUPREICAUDUS,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
CRAB PLOVER,DROMAS ARDEOLA,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
CRANE HAWK,GERANOSPIZA CAERULESCENS,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
CREAM COLORED WOODPECKER,CELEUS FLAVUS,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
CRESTED AUKLET,AETHIA CRISTATELLA,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
CRESTED CARACARA,CARACARA CHERIWAY,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
CRESTED COUA,COUA CRISTATA,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
CRESTED FIREBACK,LOPHURA IGNITA,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
CRESTED KINGFISHER,MEGACERYLE LUGUBRIS,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
CRESTED NUTHATCH,SITTA CAROLINENSIS,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
CRESTED OROPENDOLA,PSAROCOLIUS DECUMANUS,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
CRESTED SERPENT EAGLE,SPILORNIS CHEELA,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
CRESTED SHRIKETIT,FALCUNCULUS FRONTATUS,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
CRESTED WOOD PARTRIDGE,ROLLULUS ROULOUL,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
CRIMSON CHAT,EPTHIANURA TRICOLOR,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
CRIMSON SUNBIRD,AETHOPYGA SIPARAJA,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
CROW,CORVUS,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
CUBAN TODY,TODUS MULTICOLOR,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
CUBAN TROGON,PRIOTELUS TEMNURUS,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
CURL CRESTED ARACURI,PTEROGLOSSUS BEAUHARNAESII,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
D-ARNAUDS BARBET,TRACHYPHONUS DARNAUDII,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
DALMATIAN PELICAN,PELECANUS CRISPUS,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
DARJEELING WOODPECKER,DENDROCOPOS DARJELLENSIS,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
DARK EYED JUNCO,JUNCO HYEMALIS,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
DAURIAN REDSTART,PHOENICURUS AUROREUS,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
DEMOISELLE CRANE,GRUS VIRGO,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
DOUBLE BARRED FINCH,TAENIOPYGIA BICHENOVII,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
DOUBLE BRESTED CORMARANT,PHALACROCORAX AURITUS,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
DOUBLE EYED FIG PARROT,CYCLOPSITTA DIOPHTHALMA,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
DOWNY WOODPECKER,PICOIDES PUBESCENS,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
DUSKY LORY,PSEUDEOS FUSCATA,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
DUSKY ROBIN,MELANODRYAS VITTATA,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
EARED PITA,HYDRORNIS PHAYREI,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
EASTERN BLUEBIRD,SIALIA SIALIS,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
EASTERN BLUEBONNET,NORTHIELLA HAEMATOGASTER,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
EASTERN GOLDEN WEAVER,PLOCEUS SUBAUREUS,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
EASTERN MEADOWLARK,STURNELLA MAGNA,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
EASTERN ROSELLA,PLATYCERCUS EXIMIUS,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
EASTERN TOWEE,PIPILO ERYTHROPHTHALMUS,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
EASTERN WIP POOR WILL,ANTROSTOMUS VOCIFERUS,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
EASTERN YELLOW ROBIN,EOPSALTRIA AUSTRALIS,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
ECUADORIAN HILLSTAR,OREOTROCHILUS CHIMBORAZO,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
EGYPTIAN GOOSE,ALOPOCHEN AEGYPTIACA,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
ELEGANT TROGON,TROGON ELEGANS,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
ELLIOTS  PHEASANT,SYRMATICUS ELLIOTI,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
EMERALD TANAGER,TANGARA FLORIDA,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
EMPEROR PENGUIN,APTENODYTES FORSTERI,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
EMU,DROMAIUS NOVAEHOLLANDIAE,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
ENGGANO MYNA,GRACULA ENGANENSIS,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
EURASIAN BULLFINCH,PYRRHULA PYRRHULA,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
EURASIAN GOLDEN ORIOLE,ORIOLUS ORIOLUS,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
EURASIAN MAGPIE,PICA PICA,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
EUROPEAN GOLDFINCH,CARDUELIS CARDUELIS,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
EUROPEAN TURTLE DOVE,STREPTOPELIA TURTUR,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
EVENING GROSBEAK,COCCOTHRAUSTES VESPERTINUS,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
FAIRY BLUEBIRD,IRENA,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
FAIRY PENGUIN,EUDYPTULA MINOR,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
FAIRY TERN,STERNULA NEREIS,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
FAN TAILED WIDOW,EUPLECTES AXILLARIS,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
FASCIATED WREN,CAMPYLORHYNCHUS FASCIATUS,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
FIERY MINIVET,PERICROCOTUS IGNEUS,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
FIORDLAND PENGUIN,EUDYPTES PACHYRHYNCHUS,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
FIRE TAILLED MYZORNIS,MYZORNIS PYRRHOURA,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
FLAME BOWERBIRD,SERICULUS ARDENS,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
FLAME TANAGER,PIRANGA BIDENTATA,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
FOREST WAGTAIL,DENDRONANTHUS INDICUS,order,family,"['#FF0000', '#FFFFFF']","['habitat', 'habitat1']","{'size': '100 cm', 'wing': '100 cm', 'weight': '100 g'}",description,distribution,ecology,"['img.png', 'img1.png']",1
